category_id,category_original,category,domain_original,item_original,domain,item,baseline_kgco2e_per_capita,is_placeholder,baseline_tco2e_per_capita,baseline_share_pct
leisure_sport_and_culture_package_holidays,"Fritid, sport, kultur - paketresor","Leisure, sport and culture - Package holidays","Fritid, sport, kultur",paketresor,"Leisure, sport and culture",Package holidays,121.6209,False,0.1216209,2.1205168686503257
housing_actual_rent_for_rented_permanent_dwelling,"Bostaden - faktisk hyra, hyresrätt (permanentbostad)",Housing - Actual rent for rented permanent dwelling,Bostaden,"faktisk hyra, hyresrätt (permanentbostad)",Housing,Actual rent for rented permanent dwelling,124.7562,False,0.12475620000000001,2.175182280090953
local_transport_cars,Lokala transporter - bilar,Local transport - Cars,Lokala transporter,bilar,Local transport,Cars,104.1669,False,0.10416689999999999,1.8161982735287407
food_and_drink_bread_and_cereal_products,Mat och dryck - bröd och spannmålsprodukter,Food and drink - Bread and cereal products,Mat och dryck,bröd och spannmålsprodukter,Food and drink,Bread and cereal products,104.6514,False,0.10465139999999999,1.8246457560162168
food_and_drink_sugar_confectionery_and_desserts,"Mat och dryck - socker, konfektyr och efterrätter","Food and drink - Sugar, confectionery and desserts",Mat och dryck,"socker, konfektyr och efterrätter",Food and drink,"Sugar, confectionery and desserts",102.6101,False,0.10261010000000001,1.7890547425968464
other_consumption_furniture_furnishings_and_carpets,"Övrigt - furniture, furnishings, carpets","Other consumption - Furniture, furnishings and carpets",Övrigt,"furniture, furnishings, carpets",Other consumption,"Furniture, furnishings and carpets",93.87308,False,0.09387308,1.6367207416830623
other_consumption_information_and_communication_equipment,Övrigt - informations- och kommunikationsutrustning,Other consumption - Information and communication equipment,Övrigt,informations- och kommunikationsutrustning,Other consumption,Information and communication equipment,85.56549,False,0.08556549,1.4918740522338738
other_consumption_medicines,Övrigt - medicines,Other consumption - Medicines,Övrigt,medicines,Other consumption,Medicines,85.34169,False,0.08534169,1.4879719953077704
food_and_drink_ready_made_meals_and_other_food_products,Mat och dryck - färdigmat och andra livsmedelsprodukter,Food and drink - Ready-made meals and other food products,Mat och dryck,färdigmat och andra livsmedelsprodukter,Food and drink,Ready-made meals and other food products,83.47034,False,0.08347033999999999,1.4553441390581556
local_transport_passenger_transport_by_sea,Lokala transporter - passagerartransport till sjöss,Local transport - Passenger transport by sea,Lokala transporter,passagerartransport till sjöss,Local transport,Passenger transport by sea,75.27207,False,0.07527207,1.3124034945739436
other_consumption_other_appliances_and_products_for_personal_care,Övrigt - other appliances and products for personal care,Other consumption - Other appliances and products for personal care,Övrigt,other appliances and products for personal care,Other consumption,Other appliances and products for personal care,72.39924,False,0.07239924,1.2623143694666248
housing_electricity,Bostaden - elektricitet,Housing - Electricity,Bostaden,elektricitet,Housing,Electricity,57.17375,False,0.057173749999999995,0.9968508810491993
housing_direct_emissions_from_heating,Bostaden - direkta utsläpp från uppvärmning,Housing - Direct emissions from heating,Bostaden,direkta utsläpp från uppvärmning,Housing,Direct emissions from heating,50.47222,False,0.05047222,0.8800065935067932
leisure_sport_and_culture_garden_products_plants_and_flowers,"Fritid, sport, kultur - trädgårdsprodukter, växter och blommor","Leisure, sport and culture - Garden products, plants and flowers","Fritid, sport, kultur","trädgårdsprodukter, växter och blommor","Leisure, sport and culture","Garden products, plants and flowers",55.99662,False,0.05599662,0.9763270728748283
food_and_drink_fish_and_seafood,Mat och dryck - fisk och skaldjur,Food and drink - Fish and seafood,Mat och dryck,fisk och skaldjur,Food and drink,Fish and seafood,56.70087,False,0.05670087,0.9886059986577077
clothing_and_shoes_shoes_and_other_footwear,Kläder och skor - skor och andra skodon,Clothing and shoes - Shoes and other footwear,Kläder och skor,skor och andra skodon,Clothing and shoes,Shoes and other footwear,50.41063,False,0.05041063,0.8789327432562181
other_consumption_information_and_communication_services,Övrigt - informations- och kommunikationstjänster,Other consumption - Information and communication services,Övrigt,informations- och kommunikationstjänster,Other consumption,Information and communication services,47.86256,False,0.047862560000000005,0.834505959557842
other_consumption_household_appliances,Övrigt - household appliances,Other consumption - Household appliances,Övrigt,household appliances,Other consumption,Household appliances,42.5664,False,0.042566400000000004,0.7421649505777151
other_consumption_goods_and_services_for_household_maintenance,Övrigt - goods and services for household maintenance,Other consumption - Goods and services for household maintenance,Övrigt,goods and services for household maintenance,Other consumption,Goods and services for household maintenance,42.47462,False,0.042474620000000005,0.7405647236577966
food_and_drink_wine,Mat och dryck - vin,Food and drink - Wine,Mat och dryck,vin,Food and drink,Wine,39.43027,False,0.03943027,0.6874850677016605
local_transport_public_transport_and_other_combined_trips,Lokala transporter - kollektivtrafik och andra kombinationsresor,Local transport - Public transport and other combined trips,Lokala transporter,kollektivtrafik och andra kombinationsresor,Local transport,Public transport and other combined trips,41.17072,False,0.04117072,0.7178306216651854
leisure_sport_and_culture_recreation_and_sport_services,"Fritid, sport, kultur - rekreations- och sporttjänster","Leisure, sport and culture - Recreation and sport services","Fritid, sport, kultur",rekreations- och sporttjänster,"Leisure, sport and culture",Recreation and sport services,38.68849,False,0.03868849,0.6745517889409587
leisure_sport_and_culture_games_toys_and_hobby_articles,"Fritid, sport, kultur - spel, leksaker och hobbyartiklar","Leisure, sport and culture - Games, toys and hobby articles","Fritid, sport, kultur","spel, leksaker och hobbyartiklar","Leisure, sport and culture","Games, toys and hobby articles",38.33197,False,0.03833197,0.6683356971836109
food_and_drink_oils_and_fats,Mat och dryck - oljor och fetter,Food and drink - Oils and fats,Mat och dryck,oljor och fetter,Food and drink,Oils and fats,37.36086,False,0.03736086,0.6514039433788371
local_transport_maintenance_and_repairs,Lokala transporter - underhåll och reparationer,Local transport - Maintenance and repairs,Lokala transporter,underhåll och reparationer,Local transport,Maintenance and repairs,33.37569,False,0.03337569,0.5819206538337078
food_and_drink_fruit_and_vegetable_juices,Mat och dryck - frukt- och grönsaksjuicer,Food and drink - Fruit and vegetable juices,Mat och dryck,frukt- och grönsaksjuicer,Food and drink,Fruit and vegetable juices,34.04544,False,0.034045439999999996,0.5935980560958071
leisure_sport_and_culture_pets_and_pet_products,"Fritid, sport, kultur - sällskapsdjur och produkter för sällskapsdjur","Leisure, sport and culture - Pets and pet products","Fritid, sport, kultur",sällskapsdjur och produkter för sällskapsdjur,"Leisure, sport and culture",Pets and pet products,30.02136,False,0.03002136,0.5234363526320241
other_consumption_accommodation_services,Övrigt - accommodation services,Other consumption - Accommodation services,Övrigt,accommodation services,Other consumption,Accommodation services,29.12607,False,0.029126069999999997,0.5078265557358167
food_and_drink_tobacco,Mat och dryck - tobak,Food and drink - Tobacco,Mat och dryck,tobak,Food and drink,Tobacco,30.00426,False,0.030004259999999998,0.5231382061912897
leisure_sport_and_culture_major_durable_goods_for_leisure,"Fritid, sport, kultur - större varaktiga fritidsprodukter","Leisure, sport and culture - Major durable goods for leisure","Fritid, sport, kultur",större varaktiga fritidsprodukter,"Leisure, sport and culture",Major durable goods for leisure,28.39759,False,0.02839759,0.49512516865124173
leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Fritid, sport, kultur - hasardspel: tips och lotter","Leisure, sport and culture - Games of chance, betting and lotteries","Fritid, sport, kultur",hasardspel: tips och lotter,"Leisure, sport and culture","Games of chance, betting and lotteries",26.75462,False,0.02675462,0.466479223754547
other_consumption_glassware_tableware_and_other_utensils,"Övrigt - glassware, tableware, other utensils","Other consumption - Glassware, tableware and other utensils",Övrigt,"glassware, tableware, other utensils",Other consumption,"Glassware, tableware and other utensils",26.46434,False,0.02646434,0.4614180571570969
housing_maintenance_repair_and_security,"Bostaden - underhåll, reparation, säkerhet","Housing - Maintenance, repair and security",Bostaden,"underhåll, reparation, säkerhet",Housing,"Maintenance, repair and security",23.56363,False,0.02356363,0.41084283130313026
food_and_drink_soft_drinks,Mat och dryck - läskedrycker,Food and drink - Soft drinks,Mat och dryck,läskedrycker,Food and drink,Soft drinks,26.06581,False,0.02606581,0.45446950154154714
other_consumption_hairdressing_salons_and_personal_grooming_establishments,Övrigt - hairdressing salons and personal grooming establishments,Other consumption - Hairdressing salons and personal grooming establishments,Övrigt,hairdressing salons and personal grooming establishments,Other consumption,Hairdressing salons and personal grooming establishments,25.57508,False,0.02557508,0.4459133961110432
housing_imputed_rent_for_holiday_homes_other_dwellings_garages_and_storage,"Bostaden - uppskattad hyra för fritidshus o andra boenden, garage, förråd","Housing - Imputed rent for holiday homes, other dwellings, garages and storage",Bostaden,"uppskattad hyra för fritidshus o andra boenden, garage, förråd",Housing,"Imputed rent for holiday homes, other dwellings, garages and storage",24.46403,False,0.02446403,0.42654172342227065
leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Fritid, sport, kultur - utrustning för sport, camping och friluftsliv","Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Fritid, sport, kultur","utrustning för sport, camping och friluftsliv","Leisure, sport and culture","Equipment for sport, camping and outdoor recreation",23.05441,False,0.02305441,0.401964344136417
other_consumption_household_textiles,Övrigt - household textiles,Other consumption - Household textiles,Övrigt,household textiles,Other consumption,Household textiles,22.88734,False,0.02288734,0.3990514011040483
local_transport_spare_parts_and_accessories,Lokala transporter - reservdelar och tillbehör,Local transport - Spare parts and accessories,Lokala transporter,reservdelar och tillbehör,Local transport,Spare parts and accessories,21.64835,False,0.02164835,0.37744903510372213
local_transport_road_transport_services_car_pools_buses_and_taxis,"Lokala transporter - vägtransporter: bilpooler, buss, taxi","Local transport - Road transport services: car pools, buses and taxis",Lokala transporter,"vägtransporter: bilpooler, buss, taxi",Local transport,"Road transport services: car pools, buses and taxis",24.06002,False,0.02406002,0.41949762146197084
other_consumption_home_and_garden_tools,Övrigt - home and garden tools,Other consumption - Home and garden tools,Övrigt,home and garden tools,Other consumption,Home and garden tools,20.05375,False,0.020053750000000002,0.34964644361862535
other_consumption_financial_services,Övrigt - financial services,Other consumption - Financial services,Övrigt,financial services,Other consumption,Financial services,19.67818,False,0.01967818,0.34309820626502086
local_transport_company_car_benefit,Lokala transporter - bilförmån,Local transport - Company-car benefit,Lokala transporter,bilförmån,Local transport,Company-car benefit,18.5096,False,0.018509599999999998,0.322723471311017
food_and_drink_coffee_and_coffee_substitutes,Mat och dryck - kaffe och kaffesurrogat,Food and drink - Coffee and coffee substitutes,Mat och dryck,kaffe och kaffesurrogat,Food and drink,Coffee and coffee substitutes,19.9522,False,0.0199522,0.3478758722118076
clothing_and_shoes_other_garments_and_clothing_accessories,Kläder och skor - andra klädesplagg och klädestillbehörs,Clothing and shoes - Other garments and clothing accessories,Kläder och skor,andra klädesplagg och klädestillbehörs,Clothing and shoes,Other garments and clothing accessories,16.67224,False,0.016672239999999998,0.29068824649535324
local_transport_rental_of_personal_transport_equipment,Lokala transporter - uthyrning av personliga transportmedel,Local transport - Rental of personal transport equipment,Lokala transporter,uthyrning av personliga transportmedel,Local transport,Rental of personal transport equipment,14.95851,False,0.014958510000000001,0.26080856813980646
food_and_drink_strong_beer,Mat och dryck - starköl,Food and drink - Strong beer,Mat och dryck,starköl,Food and drink,Strong beer,15.00377,False,0.01500377,0.2615976972572123
other_consumption_other_personal_effects_n_e_c,Övrigt - other personal effects n.e.c.,Other consumption - Other personal effects n.e.c.,Övrigt,other personal effects n.e.c.,Other consumption,Other personal effects n.e.c.,14.23978,False,0.01423978,0.24827717683284317
food_and_drink_spirits,Mat och dryck - spritdrycker,Food and drink - Spirits,Mat och dryck,spritdrycker,Food and drink,Spirits,13.04753,False,0.01304753,0.22748974443719117
other_consumption_jewellery_and_watches,Övrigt - jewellery and watches,Other consumption - Jewellery and watches,Övrigt,jewellery and watches,Other consumption,Jewellery and watches,12.24788,False,0.012247880000000001,0.21354747535337226
local_transport_passenger_transport_by_rail_and_tram,Lokala transporter - persontransport järn- och spårväg,Local transport - Passenger transport by rail and tram,Lokala transporter,persontransport järn- och spårväg,Local transport,Passenger transport by rail and tram,12.47695,False,0.01247695,0.21754141717670797
local_transport_bicycles,Lokala transporter - cyklar,Local transport - Bicycles,Lokala transporter,cyklar,Local transport,Bicycles,11.50822,False,0.01150822,0.20065115977713577
other_consumption_outpatient_dental_services,Övrigt - outpatient dental services,Other consumption - Outpatient dental services,Övrigt,outpatient dental services,Other consumption,Outpatient dental services,10.06935,False,0.01006935,0.17556379315844692
other_consumption_other_services,Övrigt - other services,Other consumption - Other services,Övrigt,other services,Other consumption,Other services,9.468639,False,0.009468639,0.1650901179210181
other_consumption_medical_aids_and_maintenance,Övrigt - medical aids and maintenance,Other consumption - Medical aids and maintenance,Övrigt,medical aids and maintenance,Other consumption,Medical aids and maintenance,9.377794,False,0.009377794,0.1635061931602859
leisure_sport_and_culture_cultural_services,"Fritid, sport, kultur - kulturella tjänster","Leisure, sport and culture - Cultural services","Fritid, sport, kultur",kulturella tjänster,"Leisure, sport and culture",Cultural services,8.467172,False,0.008467172,0.14762907572435097
other_consumption_home_care_for_older_people_and_people_with_disabilities,Övrigt - home care for elderly and disabled,Other consumption - Home care for older people and people with disabilities,Övrigt,home care for elderly and disabled,Other consumption,Home care for older people and people with disabilities,7.755833,False,0.007755833,0.1352265499345496
housing_direct_household_emissions,Bostaden - directa utsläpp från hushåll,Housing - Direct household emissions,Bostaden,directa utsläpp från hushåll,Housing,Direct household emissions,7.144203,False,0.007144203,0.12456249686165999
other_consumption_other_outpatient_care_services,Övrigt - other outpatient care services,Other consumption - Other outpatient care services,Övrigt,other outpatient care services,Other consumption,Other outpatient care services,7.461947,False,0.007461947,0.13010251105257972
leisure_sport_and_culture_newspapers_and_periodicals,"Fritid, sport, kultur - tidningar och tidskrifter","Leisure, sport and culture - Newspapers and periodicals","Fritid, sport, kultur",tidningar och tidskrifter,"Leisure, sport and culture",Newspapers and periodicals,7.724998,False,0.007724998,0.13468892739068722
leisure_sport_and_culture_books,"Fritid, sport, kultur - böcker","Leisure, sport and culture - Books","Fritid, sport, kultur",böcker,"Leisure, sport and culture",Books,7.58624,False,0.00758624,0.1322696172255743
food_and_drink_low_and_medium_strength_beer,Mat och dryck - öl klass I o II,Food and drink - Low- and medium-strength beer,Mat och dryck,öl klass I o II,Food and drink,Low- and medium-strength beer,6.550008,False,0.006550008,0.11420243111006895
local_transport_parking_services,Lokala transporter - parkeringstjänster,Local transport - Parking services,Lokala transporter,parkeringstjänster,Local transport,Parking services,5.832175,False,0.005832175,0.10168667941464597
food_and_drink_water,Mat och dryck - vatten,Food and drink - Water,Mat och dryck,vatten,Food and drink,Water,5.704631,False,0.005704631,0.09946289054698311
leisure_sport_and_culture_writing_and_drawing_materials,"Fritid, sport, kultur - skriv- och ritmaterial","Leisure, sport and culture - Writing and drawing materials","Fritid, sport, kultur",skriv- och ritmaterial,"Leisure, sport and culture",Writing and drawing materials,5.603584,False,0.005603584,0.09770108917874368
other_consumption_residential_care_for_older_people_and_people_with_disabilities_excluding,Övrigt - residential care for elderly and disabled (no health care),"Other consumption - Residential care for older people and people with disabilities, excluding health care",Övrigt,residential care for elderly and disabled (no health care),Other consumption,"Residential care for older people and people with disabilities, excluding health care",5.168192,False,0.005168192,0.09010982747557093
local_transport_motorcycles,Lokala transporter - motorcyklar,Local transport - Motorcycles,Lokala transporter,motorcyklar,Local transport,Motorcycles,5.079291,False,0.005079291,0.08855979725757482
other_consumption_insurance,Övrigt - insurance,Other consumption - Insurance,Övrigt,insurance,Other consumption,Insurance,5.017043,False,0.0050170430000000005,0.08747447447144394
clothing_and_shoes_clothing_materials,Kläder och skor - material till kläder,Clothing and shoes - Clothing materials,Kläder och skor,material till kläder,Clothing and shoes,Clothing materials,4.7143,False,0.004714299999999999,0.08219600968154511
leisure_sport_and_culture_leisure_goods_rental_maintenance_and_repair,"Fritid, sport, kultur - fritidsvaror: uthyrning, underhåll och reparation","Leisure, sport and culture - Leisure goods: rental, maintenance and repair","Fritid, sport, kultur","fritidsvaror: uthyrning, underhåll och reparation","Leisure, sport and culture","Leisure goods: rental, maintenance and repair",4.214779,False,0.004214779,0.07348662908376069
other_consumption_medical_products,Övrigt - medical products,Other consumption - Medical products,Övrigt,medical products,Other consumption,Medical products,4.067291,False,0.004067291,0.07091510731469387
food_and_drink_narcotics,Mat och dryck - narkotika,Food and drink - Narcotics,Mat och dryck,narkotika,Food and drink,Narcotics,3.772807,False,0.003772807,0.06578064202503048
other_consumption_electric_appliances_for_personal_care,Övrigt - electric appliances for personal care,Other consumption - Electric appliances for personal care,Övrigt,electric appliances for personal care,Other consumption,Electric appliances for personal care,3.753629,False,0.003753629,0.06544626468933427
local_transport_other_transport_of_goods,Lokala transporter - annan transport av varor,Local transport - Other transport of goods,Lokala transporter,annan transport av varor,Local transport,Other transport of goods,3.523439,False,0.003523439,0.06143279514590367
leisure_sport_and_culture_services_for_pets,"Fritid, sport, kultur - tjänster för sällskapsdjur","Leisure, sport and culture - Services for pets","Fritid, sport, kultur",tjänster för sällskapsdjur,"Leisure, sport and culture",Services for pets,3.281919,False,0.003281919,0.05722178179115603
food_and_drink_tea_mate_and_other_herbal_teas,"Mat och dryck - te, maté och andra teer på växter","Food and drink - Tea, maté and other herbal teas",Mat och dryck,"te, maté och andra teer på växter",Food and drink,"Tea, maté and other herbal teas",3.254937,False,0.003254937,0.056751338091512935
leisure_sport_and_culture_photographic_and_optical_equipment,"Fritid, sport, kultur - fotografisk och optisk utrustning","Leisure, sport and culture - Photographic and optical equipment","Fritid, sport, kultur",fotografisk och optisk utrustning,"Leisure, sport and culture",Photographic and optical equipment,3.108459,False,0.003108459,0.054197426141460246
other_consumption_education_services,Övrigt - Utbildningstjänster,Other consumption - Education services,Övrigt,Utbildningstjänster,Other consumption,Education services,2.819503,False,0.002819503,0.049159344098836634
housing_actual_rents_for_other_dwellings_garages_and_storage,"Bostaden - faktiska hyror för andra boenden, garage, förråd","Housing - Actual rents for other dwellings, garages and storage",Bostaden,"faktiska hyror för andra boenden, garage, förråd",Housing,"Actual rents for other dwellings, garages and storage",2.796477,False,0.002796477,0.04875787509624297
leisure_sport_and_culture_audiovisual_media,"Fritid, sport, kultur - audiovisuella medier","Leisure, sport and culture - Audiovisual media","Fritid, sport, kultur",audiovisuella medier,"Leisure, sport and culture",Audiovisual media,1.877962,False,0.001877962,0.03274313954003221
other_consumption_software,Övrigt - programvaror,Other consumption - Software,Övrigt,programvaror,Other consumption,Software,1.896521,False,0.001896521,0.03306672432328312
local_transport_postal_and_courier_services,Lokala transporter - post- och budtjänster,Local transport - Postal and courier services,Lokala transporter,post- och budtjänster,Local transport,Postal and courier services,1.636122,False,0.001636122,0.028526546836686033
food_and_drink_other_alcoholic_beverages,Mat och dryck - andra alkoholhaltiga drycker,Food and drink - Other alcoholic beverages,Mat och dryck,andra alkoholhaltiga drycker,Food and drink,Other alcoholic beverages,1.514244,False,0.0015142439999999999,0.026401547310146066
local_transport_driving_lessons_driving_licences_and_vehicle_inspections,"Lokala transporter - körlektioner, körkort, bilprovning","Local transport - Driving lessons, driving licences and vehicle inspections",Lokala transporter,"körlektioner, körkort, bilprovning",Local transport,"Driving lessons, driving licences and vehicle inspections",1.354722,False,0.001354722,0.02362020716284542
leisure_sport_and_culture_musical_instruments,"Fritid, sport, kultur - musikinstrument","Leisure, sport and culture - Musical instruments","Fritid, sport, kultur",musikinstrument,"Leisure, sport and culture",Musical instruments,1.248173,False,0.001248173,0.021762475869639867
food_and_drink_chocolate_drinks,Mat och dryck - chokladdrycker,Food and drink - Chocolate drinks,Mat och dryck,chokladdrycker,Food and drink,Chocolate drinks,0.902968,False,0.000902968,0.015743666391643603
local_transport_road_tolls,Lokala transporter - biltullar,Local transport - Road tolls,Lokala transporter,biltullar,Local transport,Road tolls,0.802085,False,0.000802085,0.013984724439560935
other_consumption_inpatient_curative_and_rehabilitative_services,Övrigt - inpatient curative and rehabilitative services,Other consumption - Inpatient curative and rehabilitative services,Övrigt,inpatient curative and rehabilitative services,Other consumption,Inpatient curative and rehabilitative services,0.834667,False,0.0008346670000000001,0.014552806739678473
other_consumption_childcare_services,Övrigt - childcare services,Other consumption - Childcare services,Övrigt,childcare services,Other consumption,Childcare services,0.747856,False,0.000747856,0.013039216642216578
local_transport_other_passenger_transport_services,Lokala transporter - andra persontransporttjänster,Local transport - Other passenger transport services,Lokala transporter,andra persontransporttjänster,Local transport,Other passenger transport services,0.566234,False,0.000566234,0.009872552732329301
other_consumption_preventive_care_services,Övrigt - preventive care services,Other consumption - Preventive care services,Övrigt,preventive care services,Other consumption,Preventive care services,0.522673,False,0.0005226730000000001,0.00911304646888875
leisure_sport_and_culture_miscellaneous_printed_matter,"Fritid, sport, kultur - diverse trycksaker","Leisure, sport and culture - Miscellaneous printed matter","Fritid, sport, kultur",diverse trycksaker,"Leisure, sport and culture",Miscellaneous printed matter,0.504459,False,0.000504459,0.008795476920845634
other_consumption_religious_and_ritual_articles,Övrigt - religious and ritual articles,Other consumption - Religious and ritual articles,Övrigt,religious and ritual articles,Other consumption,Religious and ritual articles,0.42365,False,0.00042365,0.007386534480535094
housing_liquid_fuels,Bostaden - flytande bränslen,Housing - Liquid fuels,Bostaden,flytande bränslen,Housing,Liquid fuels,0.368585,False,0.000368585,0.00642645063497705
housing_solid_fuels,Bostaden - fasta bränslen,Housing - Solid fuels,Bostaden,fasta bränslen,Housing,Solid fuels,0.21005,False,0.00021004999999999998,0.003662319291010023
other_consumption_laboratory_services_and_imaging,Övrigt - laboratory services and imaging,Other consumption - Laboratory services and imaging,Övrigt,laboratory services and imaging,Other consumption,Laboratory services and imaging,0.085201,False,8.5201e-05,0.0014855189998254938
clothing_and_shoes_laundry_repair_and_rental_of_clothing,"Kläder och skor - tvätt, lagning och uthyrning av kläder","Clothing and shoes - Laundry, repair and rental of clothing",Kläder och skor,"tvätt, lagning och uthyrning av kläder",Clothing and shoes,"Laundry, repair and rental of clothing",0.065814,False,6.5814e-05,0.0011474976520758566
clothing_and_shoes_cleaning_repair_and_rental_of_footwear,"Kläder och skor - rengöring, lagning och uthyrning av skodon","Clothing and shoes - Cleaning, repair and rental of footwear",Kläder och skor,"rengöring, lagning och uthyrning av skodon",Clothing and shoes,"Cleaning, repair and rental of footwear",0.057527,False,5.7527e-05,0.0010030099588380556
carbon_capture,Carbon capture,Carbon capture,Carbon capture,Carbon capture,Carbon capture placeholder,Carbon capture,0.0,True,0.0,0.0
housing_gas,Bostaden - gas,Housing - Gas,Bostaden,gas,Housing,Gas,0.002579,False,2.579e-06,4.4966062611353727e-05
