category_id,category_original,category,domain_original,domain,item_original,item
food_and_drink_ready_made_meals_and_other_food_products,Mat och dryck - färdigmat och andra livsmedelsprodukter,Food and drink - Ready-made meals and other food products,Mat och dryck,Food and drink,färdigmat och andra livsmedelsprodukter,Ready-made meals and other food products
local_transport_passenger_transport_by_sea,Lokala transporter - passagerartransport till sjöss,Local transport - Passenger transport by sea,Lokala transporter,Local transport,passagerartransport till sjöss,Passenger transport by sea
other_consumption_other_appliances_and_products_for_personal_care,Övrigt - other appliances and products for personal care,Other consumption - Other appliances and products for personal care,Övrigt,Other consumption,other appliances and products for personal care,Other appliances and products for personal care
housing_electricity,Bostaden - elektricitet,Housing - Electricity,Bostaden,Housing,elektricitet,Electricity
housing_direct_emissions_from_heating,Bostaden - direkta utsläpp från uppvärmning,Housing - Direct emissions from heating,Bostaden,Housing,direkta utsläpp från uppvärmning,Direct emissions from heating
leisure_sport_and_culture_garden_products_plants_and_flowers,"Fritid, sport, kultur - trädgårdsprodukter, växter och blommor","Leisure, sport and culture - Garden products, plants and flowers","Fritid, sport, kultur","Leisure, sport and culture","trädgårdsprodukter, växter och blommor","Garden products, plants and flowers"
food_and_drink_fish_and_seafood,Mat och dryck - fisk och skaldjur,Food and drink - Fish and seafood,Mat och dryck,Food and drink,fisk och skaldjur,Fish and seafood
clothing_and_shoes_shoes_and_other_footwear,Kläder och skor - skor och andra skodon,Clothing and shoes - Shoes and other footwear,Kläder och skor,Clothing and shoes,skor och andra skodon,Shoes and other footwear
other_consumption_information_and_communication_services,Övrigt - informations- och kommunikationstjänster,Other consumption - Information and communication services,Övrigt,Other consumption,informations- och kommunikationstjänster,Information and communication services
other_consumption_household_appliances,Övrigt - household appliances,Other consumption - Household appliances,Övrigt,Other consumption,household appliances,Household appliances
other_consumption_goods_and_services_for_household_maintenance,Övrigt - goods and services for household maintenance,Other consumption - Goods and services for household maintenance,Övrigt,Other consumption,goods and services for household maintenance,Goods and services for household maintenance
food_and_drink_wine,Mat och dryck - vin,Food and drink - Wine,Mat och dryck,Food and drink,vin,Wine
local_transport_public_transport_and_other_combined_trips,Lokala transporter - kollektivtrafik och andra kombinationsresor,Local transport - Public transport and other combined trips,Lokala transporter,Local transport,kollektivtrafik och andra kombinationsresor,Public transport and other combined trips
leisure_sport_and_culture_recreation_and_sport_services,"Fritid, sport, kultur - rekreations- och sporttjänster","Leisure, sport and culture - Recreation and sport services","Fritid, sport, kultur","Leisure, sport and culture",rekreations- och sporttjänster,Recreation and sport services
leisure_sport_and_culture_games_toys_and_hobby_articles,"Fritid, sport, kultur - spel, leksaker och hobbyartiklar","Leisure, sport and culture - Games, toys and hobby articles","Fritid, sport, kultur","Leisure, sport and culture","spel, leksaker och hobbyartiklar","Games, toys and hobby articles"
food_and_drink_oils_and_fats,Mat och dryck - oljor och fetter,Food and drink - Oils and fats,Mat och dryck,Food and drink,oljor och fetter,Oils and fats
local_transport_maintenance_and_repairs,Lokala transporter - underhåll och reparationer,Local transport - Maintenance and repairs,Lokala transporter,Local transport,underhåll och reparationer,Maintenance and repairs
food_and_drink_fruit_and_vegetable_juices,Mat och dryck - frukt- och grönsaksjuicer,Food and drink - Fruit and vegetable juices,Mat och dryck,Food and drink,frukt- och grönsaksjuicer,Fruit and vegetable juices
leisure_sport_and_culture_pets_and_pet_products,"Fritid, sport, kultur - sällskapsdjur och produkter för sällskapsdjur","Leisure, sport and culture - Pets and pet products","Fritid, sport, kultur","Leisure, sport and culture",sällskapsdjur och produkter för sällskapsdjur,Pets and pet products
other_consumption_accommodation_services,Övrigt - accommodation services,Other consumption - Accommodation services,Övrigt,Other consumption,accommodation services,Accommodation services
food_and_drink_tobacco,Mat och dryck - tobak,Food and drink - Tobacco,Mat och dryck,Food and drink,tobak,Tobacco
leisure_sport_and_culture_major_durable_goods_for_leisure,"Fritid, sport, kultur - större varaktiga fritidsprodukter","Leisure, sport and culture - Major durable goods for leisure","Fritid, sport, kultur","Leisure, sport and culture",större varaktiga fritidsprodukter,Major durable goods for leisure
leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Fritid, sport, kultur - hasardspel: tips och lotter","Leisure, sport and culture - Games of chance, betting and lotteries","Fritid, sport, kultur","Leisure, sport and culture",hasardspel: tips och lotter,"Games of chance, betting and lotteries"
other_consumption_glassware_tableware_and_other_utensils,"Övrigt - glassware, tableware, other utensils","Other consumption - Glassware, tableware and other utensils",Övrigt,Other consumption,"glassware, tableware, other utensils","Glassware, tableware and other utensils"
housing_maintenance_repair_and_security,"Bostaden - underhåll, reparation, säkerhet","Housing - Maintenance, repair and security",Bostaden,Housing,"underhåll, reparation, säkerhet","Maintenance, repair and security"
food_and_drink_soft_drinks,Mat och dryck - läskedrycker,Food and drink - Soft drinks,Mat och dryck,Food and drink,läskedrycker,Soft drinks
other_consumption_hairdressing_salons_and_personal_grooming_establishments,Övrigt - hairdressing salons and personal grooming establishments,Other consumption - Hairdressing salons and personal grooming establishments,Övrigt,Other consumption,hairdressing salons and personal grooming establishments,Hairdressing salons and personal grooming establishments
housing_imputed_rent_for_holiday_homes_other_dwellings_garages_and_storage,"Bostaden - uppskattad hyra för fritidshus o andra boenden, garage, förråd","Housing - Imputed rent for holiday homes, other dwellings, garages and storage",Bostaden,Housing,"uppskattad hyra för fritidshus o andra boenden, garage, förråd","Imputed rent for holiday homes, other dwellings, garages and storage"
leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Fritid, sport, kultur - utrustning för sport, camping och friluftsliv","Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Fritid, sport, kultur","Leisure, sport and culture","utrustning för sport, camping och friluftsliv","Equipment for sport, camping and outdoor recreation"
other_consumption_household_textiles,Övrigt - household textiles,Other consumption - Household textiles,Övrigt,Other consumption,household textiles,Household textiles
local_transport_spare_parts_and_accessories,Lokala transporter - reservdelar och tillbehör,Local transport - Spare parts and accessories,Lokala transporter,Local transport,reservdelar och tillbehör,Spare parts and accessories
local_transport_road_transport_services_car_pools_buses_and_taxis,"Lokala transporter - vägtransporter: bilpooler, buss, taxi","Local transport - Road transport services: car pools, buses and taxis",Lokala transporter,Local transport,"vägtransporter: bilpooler, buss, taxi","Road transport services: car pools, buses and taxis"
other_consumption_home_and_garden_tools,Övrigt - home and garden tools,Other consumption - Home and garden tools,Övrigt,Other consumption,home and garden tools,Home and garden tools
other_consumption_financial_services,Övrigt - financial services,Other consumption - Financial services,Övrigt,Other consumption,financial services,Financial services
local_transport_company_car_benefit,Lokala transporter - bilförmån,Local transport - Company-car benefit,Lokala transporter,Local transport,bilförmån,Company-car benefit
food_and_drink_coffee_and_coffee_substitutes,Mat och dryck - kaffe och kaffesurrogat,Food and drink - Coffee and coffee substitutes,Mat och dryck,Food and drink,kaffe och kaffesurrogat,Coffee and coffee substitutes
clothing_and_shoes_other_garments_and_clothing_accessories,Kläder och skor - andra klädesplagg och klädestillbehörs,Clothing and shoes - Other garments and clothing accessories,Kläder och skor,Clothing and shoes,andra klädesplagg och klädestillbehörs,Other garments and clothing accessories
local_transport_rental_of_personal_transport_equipment,Lokala transporter - uthyrning av personliga transportmedel,Local transport - Rental of personal transport equipment,Lokala transporter,Local transport,uthyrning av personliga transportmedel,Rental of personal transport equipment
food_and_drink_strong_beer,Mat och dryck - starköl,Food and drink - Strong beer,Mat och dryck,Food and drink,starköl,Strong beer
other_consumption_other_personal_effects_n_e_c,Övrigt - other personal effects n.e.c.,Other consumption - Other personal effects n.e.c.,Övrigt,Other consumption,other personal effects n.e.c.,Other personal effects n.e.c.
food_and_drink_spirits,Mat och dryck - spritdrycker,Food and drink - Spirits,Mat och dryck,Food and drink,spritdrycker,Spirits
other_consumption_jewellery_and_watches,Övrigt - jewellery and watches,Other consumption - Jewellery and watches,Övrigt,Other consumption,jewellery and watches,Jewellery and watches
local_transport_passenger_transport_by_rail_and_tram,Lokala transporter - persontransport järn- och spårväg,Local transport - Passenger transport by rail and tram,Lokala transporter,Local transport,persontransport järn- och spårväg,Passenger transport by rail and tram
local_transport_bicycles,Lokala transporter - cyklar,Local transport - Bicycles,Lokala transporter,Local transport,cyklar,Bicycles
other_consumption_outpatient_dental_services,Övrigt - outpatient dental services,Other consumption - Outpatient dental services,Övrigt,Other consumption,outpatient dental services,Outpatient dental services
other_consumption_other_services,Övrigt - other services,Other consumption - Other services,Övrigt,Other consumption,other services,Other services
other_consumption_medical_aids_and_maintenance,Övrigt - medical aids and maintenance,Other consumption - Medical aids and maintenance,Övrigt,Other consumption,medical aids and maintenance,Medical aids and maintenance
leisure_sport_and_culture_cultural_services,"Fritid, sport, kultur - kulturella tjänster","Leisure, sport and culture - Cultural services","Fritid, sport, kultur","Leisure, sport and culture",kulturella tjänster,Cultural services
other_consumption_home_care_for_older_people_and_people_with_disabilities,Övrigt - home care for elderly and disabled,Other consumption - Home care for older people and people with disabilities,Övrigt,Other consumption,home care for elderly and disabled,Home care for older people and people with disabilities
housing_direct_household_emissions,Bostaden - directa utsläpp från hushåll,Housing - Direct household emissions,Bostaden,Housing,directa utsläpp från hushåll,Direct household emissions
other_consumption_other_outpatient_care_services,Övrigt - other outpatient care services,Other consumption - Other outpatient care services,Övrigt,Other consumption,other outpatient care services,Other outpatient care services
leisure_sport_and_culture_newspapers_and_periodicals,"Fritid, sport, kultur - tidningar och tidskrifter","Leisure, sport and culture - Newspapers and periodicals","Fritid, sport, kultur","Leisure, sport and culture",tidningar och tidskrifter,Newspapers and periodicals
leisure_sport_and_culture_books,"Fritid, sport, kultur - böcker","Leisure, sport and culture - Books","Fritid, sport, kultur","Leisure, sport and culture",böcker,Books
food_and_drink_low_and_medium_strength_beer,Mat och dryck - öl klass I o II,Food and drink - Low- and medium-strength beer,Mat och dryck,Food and drink,öl klass I o II,Low- and medium-strength beer
local_transport_parking_services,Lokala transporter - parkeringstjänster,Local transport - Parking services,Lokala transporter,Local transport,parkeringstjänster,Parking services
food_and_drink_water,Mat och dryck - vatten,Food and drink - Water,Mat och dryck,Food and drink,vatten,Water
leisure_sport_and_culture_writing_and_drawing_materials,"Fritid, sport, kultur - skriv- och ritmaterial","Leisure, sport and culture - Writing and drawing materials","Fritid, sport, kultur","Leisure, sport and culture",skriv- och ritmaterial,Writing and drawing materials
other_consumption_residential_care_for_older_people_and_people_with_disabilities_excluding,Övrigt - residential care for elderly and disabled (no health care),"Other consumption - Residential care for older people and people with disabilities, excluding health care",Övrigt,Other consumption,residential care for elderly and disabled (no health care),"Residential care for older people and people with disabilities, excluding health care"
local_transport_motorcycles,Lokala transporter - motorcyklar,Local transport - Motorcycles,Lokala transporter,Local transport,motorcyklar,Motorcycles
other_consumption_insurance,Övrigt - insurance,Other consumption - Insurance,Övrigt,Other consumption,insurance,Insurance
clothing_and_shoes_clothing_materials,Kläder och skor - material till kläder,Clothing and shoes - Clothing materials,Kläder och skor,Clothing and shoes,material till kläder,Clothing materials
leisure_sport_and_culture_leisure_goods_rental_maintenance_and_repair,"Fritid, sport, kultur - fritidsvaror: uthyrning, underhåll och reparation","Leisure, sport and culture - Leisure goods: rental, maintenance and repair","Fritid, sport, kultur","Leisure, sport and culture","fritidsvaror: uthyrning, underhåll och reparation","Leisure goods: rental, maintenance and repair"
other_consumption_medical_products,Övrigt - medical products,Other consumption - Medical products,Övrigt,Other consumption,medical products,Medical products
food_and_drink_narcotics,Mat och dryck - narkotika,Food and drink - Narcotics,Mat och dryck,Food and drink,narkotika,Narcotics
other_consumption_electric_appliances_for_personal_care,Övrigt - electric appliances for personal care,Other consumption - Electric appliances for personal care,Övrigt,Other consumption,electric appliances for personal care,Electric appliances for personal care
local_transport_other_transport_of_goods,Lokala transporter - annan transport av varor,Local transport - Other transport of goods,Lokala transporter,Local transport,annan transport av varor,Other transport of goods
leisure_sport_and_culture_services_for_pets,"Fritid, sport, kultur - tjänster för sällskapsdjur","Leisure, sport and culture - Services for pets","Fritid, sport, kultur","Leisure, sport and culture",tjänster för sällskapsdjur,Services for pets
food_and_drink_tea_mate_and_other_herbal_teas,"Mat och dryck - te, maté och andra teer på växter","Food and drink - Tea, maté and other herbal teas",Mat och dryck,Food and drink,"te, maté och andra teer på växter","Tea, maté and other herbal teas"
leisure_sport_and_culture_photographic_and_optical_equipment,"Fritid, sport, kultur - fotografisk och optisk utrustning","Leisure, sport and culture - Photographic and optical equipment","Fritid, sport, kultur","Leisure, sport and culture",fotografisk och optisk utrustning,Photographic and optical equipment
other_consumption_education_services,Övrigt - Utbildningstjänster,Other consumption - Education services,Övrigt,Other consumption,Utbildningstjänster,Education services
housing_actual_rents_for_other_dwellings_garages_and_storage,"Bostaden - faktiska hyror för andra boenden, garage, förråd","Housing - Actual rents for other dwellings, garages and storage",Bostaden,Housing,"faktiska hyror för andra boenden, garage, förråd","Actual rents for other dwellings, garages and storage"
leisure_sport_and_culture_audiovisual_media,"Fritid, sport, kultur - audiovisuella medier","Leisure, sport and culture - Audiovisual media","Fritid, sport, kultur","Leisure, sport and culture",audiovisuella medier,Audiovisual media
other_consumption_software,Övrigt - programvaror,Other consumption - Software,Övrigt,Other consumption,programvaror,Software
local_transport_postal_and_courier_services,Lokala transporter - post- och budtjänster,Local transport - Postal and courier services,Lokala transporter,Local transport,post- och budtjänster,Postal and courier services
food_and_drink_other_alcoholic_beverages,Mat och dryck - andra alkoholhaltiga drycker,Food and drink - Other alcoholic beverages,Mat och dryck,Food and drink,andra alkoholhaltiga drycker,Other alcoholic beverages
local_transport_driving_lessons_driving_licences_and_vehicle_inspections,"Lokala transporter - körlektioner, körkort, bilprovning","Local transport - Driving lessons, driving licences and vehicle inspections",Lokala transporter,Local transport,"körlektioner, körkort, bilprovning","Driving lessons, driving licences and vehicle inspections"
leisure_sport_and_culture_musical_instruments,"Fritid, sport, kultur - musikinstrument","Leisure, sport and culture - Musical instruments","Fritid, sport, kultur","Leisure, sport and culture",musikinstrument,Musical instruments
food_and_drink_chocolate_drinks,Mat och dryck - chokladdrycker,Food and drink - Chocolate drinks,Mat och dryck,Food and drink,chokladdrycker,Chocolate drinks
local_transport_road_tolls,Lokala transporter - biltullar,Local transport - Road tolls,Lokala transporter,Local transport,biltullar,Road tolls
other_consumption_inpatient_curative_and_rehabilitative_services,Övrigt - inpatient curative and rehabilitative services,Other consumption - Inpatient curative and rehabilitative services,Övrigt,Other consumption,inpatient curative and rehabilitative services,Inpatient curative and rehabilitative services
other_consumption_childcare_services,Övrigt - childcare services,Other consumption - Childcare services,Övrigt,Other consumption,childcare services,Childcare services
local_transport_other_passenger_transport_services,Lokala transporter - andra persontransporttjänster,Local transport - Other passenger transport services,Lokala transporter,Local transport,andra persontransporttjänster,Other passenger transport services
other_consumption_preventive_care_services,Övrigt - preventive care services,Other consumption - Preventive care services,Övrigt,Other consumption,preventive care services,Preventive care services
leisure_sport_and_culture_miscellaneous_printed_matter,"Fritid, sport, kultur - diverse trycksaker","Leisure, sport and culture - Miscellaneous printed matter","Fritid, sport, kultur","Leisure, sport and culture",diverse trycksaker,Miscellaneous printed matter
other_consumption_religious_and_ritual_articles,Övrigt - religious and ritual articles,Other consumption - Religious and ritual articles,Övrigt,Other consumption,religious and ritual articles,Religious and ritual articles
housing_liquid_fuels,Bostaden - flytande bränslen,Housing - Liquid fuels,Bostaden,Housing,flytande bränslen,Liquid fuels
housing_solid_fuels,Bostaden - fasta bränslen,Housing - Solid fuels,Bostaden,Housing,fasta bränslen,Solid fuels
other_consumption_laboratory_services_and_imaging,Övrigt - laboratory services and imaging,Other consumption - Laboratory services and imaging,Övrigt,Other consumption,laboratory services and imaging,Laboratory services and imaging
clothing_and_shoes_laundry_repair_and_rental_of_clothing,"Kläder och skor - tvätt, lagning och uthyrning av kläder","Clothing and shoes - Laundry, repair and rental of clothing",Kläder och skor,Clothing and shoes,"tvätt, lagning och uthyrning av kläder","Laundry, repair and rental of clothing"
clothing_and_shoes_cleaning_repair_and_rental_of_footwear,"Kläder och skor - rengöring, lagning och uthyrning av skodon","Clothing and shoes - Cleaning, repair and rental of footwear",Kläder och skor,Clothing and shoes,"rengöring, lagning och uthyrning av skodon","Cleaning, repair and rental of footwear"
carbon_capture,Carbon capture,Carbon capture,Carbon capture,Carbon capture placeholder,Carbon capture,Carbon capture
housing_gas,Bostaden - gas,Housing - Gas,Bostaden,Housing,gas,Gas
