category_id,category,domain,baseline_kgco2e_cap,coicop_codes,sek_per_capita_2021,implied_intensity_kgco2e_per_sek,flag,note
food_and_drink_sugar_confectionery_and_desserts,"Food and drink - Sugar, confectionery and desserts",Food and drink,102.6101,0118,3472.9,0.02955,OK,
other_consumption_furniture_furnishings_and_carpets,"Other consumption - Furniture, furnishings and carpets",Other consumption,93.87308,"0511, 0512",5353.2,0.01754,OK,
other_consumption_information_and_communication_equipment,Other consumption - Information and communication equipment,Other consumption,85.56549,"0812, 0913",3858.9,0.02217,LOW-CONF,Combines telecom hardware (0812) + IT hardware (0913); approximate aggregate
other_consumption_medicines,Other consumption - Medicines,Other consumption,85.34169,0611,2063.3,0.04136,OK,
food_and_drink_ready_made_meals_and_other_food_products,Food and drink - Ready-made meals and other food products,Food and drink,83.47034,0119,1233.8,0.06765,LOW-CONF,Best available proxy (salt/spices/sauces/baby food); ready-meals not separately coded at 4-digit COICOP
local_transport_passenger_transport_by_sea,Local transport - Passenger transport by sea,Local transport,75.27207,0734,136.2,0.55266,OK,
other_consumption_other_appliances_and_products_for_personal_care,Other consumption - Other appliances and products for personal care,Other consumption,72.39924,1213,2512.6,0.02881,OK,
housing_electricity,Housing - Electricity,Housing,57.17375,0451,8292.7,0.00689,OK,
housing_direct_emissions_from_heating,Housing - Direct emissions from heating,Housing,50.47222,,,,DIRECT,"Physical direct combustion (Statistics Sweden direct-emissions series), not COICOP expenditure. Use fuel volume, not SEK."
leisure_sport_and_culture_garden_products_plants_and_flowers,"Leisure, sport and culture - Garden products, plants and flowers","Leisure, sport and culture",55.99662,0933,1724.3,0.03247,OK,
food_and_drink_fish_and_seafood,Food and drink - Fish and seafood,Food and drink,56.70087,0113,1472.1,0.03852,OK,
clothing_and_shoes_shoes_and_other_footwear,Clothing and shoes - Shoes and other footwear,Clothing and shoes,50.41063,0321,1388.2,0.03631,OK,
other_consumption_information_and_communication_services,Other consumption - Information and communication services,Other consumption,47.86256,0813,4846.1,0.00988,OK,
other_consumption_household_appliances,Other consumption - Household appliances,Other consumption,42.5664,"0531, 0532",1546.2,0.02753,OK,
other_consumption_goods_and_services_for_household_maintenance,Other consumption - Goods and services for household maintenance,Other consumption,42.47462,"0561, 0562",2910.0,0.0146,OK,
food_and_drink_wine,Food and drink - Wine,Food and drink,39.43027,0212,2428.4,0.01624,OK,
local_transport_public_transport_and_other_combined_trips,Local transport - Public transport and other combined trips,Local transport,41.17072,0735,1651.4,0.02493,OK,
leisure_sport_and_culture_recreation_and_sport_services,"Leisure, sport and culture - Recreation and sport services","Leisure, sport and culture",38.68849,0941,4531.7,0.00854,OK,
leisure_sport_and_culture_games_toys_and_hobby_articles,"Leisure, sport and culture - Games, toys and hobby articles","Leisure, sport and culture",38.33197,0931,1582.7,0.02422,OK,
food_and_drink_oils_and_fats,Food and drink - Oils and fats,Food and drink,37.36086,0115,749.6,0.04984,OK,
local_transport_maintenance_and_repairs,Local transport - Maintenance and repairs,Local transport,33.37569,0723,3658.2,0.00912,OK,
food_and_drink_fruit_and_vegetable_juices,Food and drink - Fruit and vegetable juices,Food and drink,34.04544,0122,1201.9,0.02833,SHARED,0122 combined with Water & Soft drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
leisure_sport_and_culture_pets_and_pet_products,"Leisure, sport and culture - Pets and pet products","Leisure, sport and culture",30.02136,0934,1015.9,0.02955,OK,
other_consumption_accommodation_services,Other consumption - Accommodation services,Other consumption,29.12607,112,1748.6,0.01666,OK,
food_and_drink_tobacco,Food and drink - Tobacco,Food and drink,30.00426,022,2588.1,0.01159,OK,
leisure_sport_and_culture_major_durable_goods_for_leisure,"Leisure, sport and culture - Major durable goods for leisure","Leisure, sport and culture",28.39759,0921,1452.7,0.01955,OK,
leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Leisure, sport and culture - Games of chance, betting and lotteries","Leisure, sport and culture",26.75462,0943,1639.3,0.01632,OK,
other_consumption_glassware_tableware_and_other_utensils,"Other consumption - Glassware, tableware and other utensils",Other consumption,26.46434,054,2157.2,0.01227,OK,
housing_maintenance_repair_and_security,"Housing - Maintenance, repair and security",Housing,23.56363,043,1260.2,0.0187,OK,
food_and_drink_soft_drinks,Food and drink - Soft drinks,Food and drink,26.06581,0122,920.2,0.02833,SHARED,0122 combined with Water & Fruit/veg juices | SEK/cap split proportionally to baseline emissions share across 3 peers.
other_consumption_hairdressing_salons_and_personal_grooming_establishments,Other consumption - Hairdressing salons and personal grooming establishments,Other consumption,25.57508,1211,2850.3,0.00897,OK,
housing_imputed_rent_for_holiday_homes_other_dwellings_garages_and_storage,"Housing - Imputed rent for holiday homes, other dwellings, garages and storage",Housing,24.46403,0422,2333.1,0.01049,OK,
leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Leisure, sport and culture",23.05441,0932,1471.3,0.01567,OK,
other_consumption_household_textiles,Other consumption - Household textiles,Other consumption,22.88734,052,1596.4,0.01434,OK,
local_transport_spare_parts_and_accessories,Local transport - Spare parts and accessories,Local transport,21.64835,0721,1476.1,0.01467,OK,
local_transport_road_transport_services_car_pools_buses_and_taxis,"Local transport - Road transport services: car pools, buses and taxis",Local transport,24.06002,0732,676.2,0.03558,OK,
other_consumption_home_and_garden_tools,Other consumption - Home and garden tools,Other consumption,20.05375,"0551, 0552",1784.5,0.01124,OK,
other_consumption_financial_services,Other consumption - Financial services,Other consumption,19.67818,126,8112.6,0.00243,OK,
local_transport_company_car_benefit,Local transport - Company-car benefit,Local transport,18.5096,07245,1543.0,0.012,SHARED,07245 combined with Rental of personal transport equipment | SEK/cap split proportionally to baseline emissions share across 2 peers.
food_and_drink_coffee_and_coffee_substitutes,Food and drink - Coffee and coffee substitutes,Food and drink,19.9522,0121,719.2,0.02774,SHARED,0121 combined with Tea & Chocolate drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
clothing_and_shoes_other_garments_and_clothing_accessories,Clothing and shoes - Other garments and clothing accessories,Clothing and shoes,16.67224,0313,502.4,0.03319,OK,
local_transport_rental_of_personal_transport_equipment,Local transport - Rental of personal transport equipment,Local transport,14.95851,07245,1246.9,0.012,SHARED,07245 combined with Company-car benefit | SEK/cap split proportionally to baseline emissions share across 2 peers.
food_and_drink_strong_beer,Food and drink - Strong beer,Food and drink,15.00377,02131,1098.3,0.01366,OK,
other_consumption_other_personal_effects_n_e_c,Other consumption - Other personal effects n.e.c.,Other consumption,14.23978,1232,845.1,0.01685,OK,
food_and_drink_spirits,Food and drink - Spirits,Food and drink,13.04753,0211,1015.8,0.01284,OK,
other_consumption_jewellery_and_watches,Other consumption - Jewellery and watches,Other consumption,12.24788,1231,799.4,0.01532,OK,
local_transport_passenger_transport_by_rail_and_tram,Local transport - Passenger transport by rail and tram,Local transport,12.47695,0731,453.8,0.02749,LOW-CONF,Tram not separately coded; rail proxy used
local_transport_bicycles,Local transport - Bicycles,Local transport,11.50822,0713,304.0,0.03786,OK,
other_consumption_outpatient_dental_services,Other consumption - Outpatient dental services,Other consumption,10.06935,0622,1703.7,0.00591,OK,
other_consumption_other_services,Other consumption - Other services,Other consumption,9.468639,127,1792.3,0.00528,LOW-CONF,Catch-all: legal/employment agency fees; imprecise proxy
other_consumption_medical_aids_and_maintenance,Other consumption - Medical aids and maintenance,Other consumption,9.377794,0613,962.9,0.00974,OK,
leisure_sport_and_culture_cultural_services,"Leisure, sport and culture - Cultural services","Leisure, sport and culture",8.467172,0942,4390.4,0.00193,OK,
other_consumption_home_care_for_older_people_and_people_with_disabilities,Other consumption - Home care for older people and people with disabilities,Other consumption,7.755833,12402,1611.7,0.00481,LOW-CONF,12402 'care and help for elderly' only; disability home care not separately coded
housing_direct_household_emissions,Housing - Direct household emissions,Housing,7.144203,,,,DIRECT,"Physical direct combustion, not COICOP expenditure. Use fuel volume, not SEK."
other_consumption_other_outpatient_care_services,Other consumption - Other outpatient care services,Other consumption,7.461947,"0621, 0623",1511.5,0.00494,OK,
leisure_sport_and_culture_newspapers_and_periodicals,"Leisure, sport and culture - Newspapers and periodicals","Leisure, sport and culture",7.724998,0952,1204.8,0.00641,OK,
leisure_sport_and_culture_books,"Leisure, sport and culture - Books","Leisure, sport and culture",7.58624,0951,735.1,0.01032,OK,
food_and_drink_low_and_medium_strength_beer,Food and drink - Low- and medium-strength beer,Food and drink,6.550008,02132,273.2,0.02398,OK,
local_transport_parking_services,Local transport - Parking services,Local transport,5.832175,07244,811.2,0.00719,OK,
food_and_drink_water,Food and drink - Water,Food and drink,5.704631,0122,201.4,0.02833,SHARED,0122 combined with Soft drinks & Fruit/veg juices | SEK/cap split proportionally to baseline emissions share across 3 peers.
leisure_sport_and_culture_writing_and_drawing_materials,"Leisure, sport and culture - Writing and drawing materials","Leisure, sport and culture",5.603584,0954,203.8,0.0275,OK,
other_consumption_residential_care_for_older_people_and_people_with_disabilities_excluding,"Other consumption - Residential care for older people and people with disabilities, excluding health care",Other consumption,5.168192,12403,2736.2,0.00189,LOW-CONF,Best available proxy (personal assistance); residential care not separately coded
local_transport_motorcycles,Local transport - Motorcycles,Local transport,5.079291,0712,329.1,0.01543,OK,
other_consumption_insurance,Other consumption - Insurance,Other consumption,5.017043,125,2904.9,0.00173,OK,
clothing_and_shoes_clothing_materials,Clothing and shoes - Clothing materials,Clothing and shoes,4.7143,0311,107.0,0.04406,OK,
leisure_sport_and_culture_leisure_goods_rental_maintenance_and_repair,"Leisure, sport and culture - Leisure goods: rental, maintenance and repair","Leisure, sport and culture",4.214779,0923,264.2,0.01595,OK,
other_consumption_medical_products,Other consumption - Medical products,Other consumption,4.067291,0612,347.4,0.01171,OK,
food_and_drink_narcotics,Food and drink - Narcotics,Food and drink,3.772807,023,179.3,0.02104,OK,
other_consumption_electric_appliances_for_personal_care,Other consumption - Electric appliances for personal care,Other consumption,3.753629,1212,97.5,0.0385,OK,
local_transport_other_transport_of_goods,Local transport - Other transport of goods,Local transport,3.523439,0736,286.9,0.01228,SHARED,0736 combined with Other passenger transport services | SEK/cap split proportionally to baseline emissions share across 2 peers.
leisure_sport_and_culture_services_for_pets,"Leisure, sport and culture - Services for pets","Leisure, sport and culture",3.281919,0935,770.7,0.00426,OK,
food_and_drink_tea_mate_and_other_herbal_teas,"Food and drink - Tea, maté and other herbal teas",Food and drink,3.254937,0121,117.3,0.02774,SHARED,0121 combined with Coffee & Chocolate drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
leisure_sport_and_culture_photographic_and_optical_equipment,"Leisure, sport and culture - Photographic and optical equipment","Leisure, sport and culture",3.108459,0912,174.0,0.01786,OK,
other_consumption_education_services,Other consumption - Education services,Other consumption,2.819503,101,679.8,0.00415,OK,
housing_actual_rents_for_other_dwellings_garages_and_storage,"Housing - Actual rents for other dwellings, garages and storage",Housing,2.796477,0412,8911.5,0.00031,LOW-CONF,0412 mixes secondary-residence rentals paid & tenant-owner payments; approximate
leisure_sport_and_culture_audiovisual_media,"Leisure, sport and culture - Audiovisual media","Leisure, sport and culture",1.877962,0914,264.5,0.0071,LOW-CONF,Legacy physical-media COICOP line; poor proxy for streaming-era audiovisual consumption
other_consumption_software,Other consumption - Software,Other consumption,1.896521,,,,NOMATCH,Not separately coded at this COICOP resolution; likely embedded in 0913
local_transport_postal_and_courier_services,Local transport - Postal and courier services,Local transport,1.636122,0811,199.5,0.0082,OK,
food_and_drink_other_alcoholic_beverages,Food and drink - Other alcoholic beverages,Food and drink,1.514244,,,,NOMATCH,021 fully accounted by spirits+wine+beer; no residual COICOP line
local_transport_driving_lessons_driving_licences_and_vehicle_inspections,"Local transport - Driving lessons, driving licences and vehicle inspections",Local transport,1.354722,"07241, 07242",547.0,0.00248,OK,
leisure_sport_and_culture_musical_instruments,"Leisure, sport and culture - Musical instruments","Leisure, sport and culture",1.248173,0922,93.4,0.01336,OK,
food_and_drink_chocolate_drinks,Food and drink - Chocolate drinks,Food and drink,0.902968,0121,32.5,0.02774,SHARED,0121 combined with Coffee & Tea | SEK/cap split proportionally to baseline emissions share across 3 peers.
local_transport_road_tolls,Local transport - Road tolls,Local transport,0.802085,07243,78.3,0.01024,OK,
other_consumption_inpatient_curative_and_rehabilitative_services,Other consumption - Inpatient curative and rehabilitative services,Other consumption,0.834667,063,190.5,0.00438,OK,
other_consumption_childcare_services,Other consumption - Childcare services,Other consumption,0.747856,12401,364.9,0.00205,OK,
local_transport_other_passenger_transport_services,Local transport - Other passenger transport services,Local transport,0.566234,0736,46.1,0.01228,SHARED,0736 combined with Other transport of goods | SEK/cap split proportionally to baseline emissions share across 2 peers.
other_consumption_preventive_care_services,Other consumption - Preventive care services,Other consumption,0.522673,,,,NOMATCH,Not separately coded; embedded within broader health codes
leisure_sport_and_culture_miscellaneous_printed_matter,"Leisure, sport and culture - Miscellaneous printed matter","Leisure, sport and culture",0.504459,0953,66.3,0.00761,OK,
other_consumption_religious_and_ritual_articles,Other consumption - Religious and ritual articles,Other consumption,0.42365,,,,NOMATCH,Not separately coded in COICOP at this resolution
housing_liquid_fuels,Housing - Liquid fuels,Housing,0.368585,0453,100.6,0.00366,OK,
housing_solid_fuels,Housing - Solid fuels,Housing,0.21005,0454,306.2,0.00069,OK,
other_consumption_laboratory_services_and_imaging,Other consumption - Laboratory services and imaging,Other consumption,0.085201,0621,968.6,9e-05,LOW-CONF,"Inactive in Scenario 4 (baseline 0.085 kg/cap, negligible); proxy-matched to outpatient medical services"
clothing_and_shoes_laundry_repair_and_rental_of_clothing,"Clothing and shoes - Laundry, repair and rental of clothing",Clothing and shoes,0.065814,0314,139.2,0.00047,OK,
clothing_and_shoes_cleaning_repair_and_rental_of_footwear,"Clothing and shoes - Cleaning, repair and rental of footwear",Clothing and shoes,0.057527,0322,7.7,0.00747,OK,
carbon_capture,Carbon capture,Carbon capture,0.0,,,,NOT_APPLICABLE,"Technology placeholder representing CCS deployment (baseline 0 by construction), not a household consumption category; no COICOP correspondence expected"
housing_gas,Housing - Gas,Housing,0.002579,0452,103.2,2e-05,OK,
